Date,HSI
1/12/2000,17369.63086
4/12/2000,17072.82031
5/12/2000,15846.71973
6/12/2000,15153.23047
7/12/2000,15405.62988
8/12/2000,15848.15039
11/12/2000,15862.09961
12/12/2000,15714.2002
13/12/2000,15633.95996
14/12/2000,15542.23047
15/12/2000,15574.55957
18/12/2000,15789.2002
19/12/2000,15275.33984
20/12/2000,15215.30957
21/12/2000,15108.41016
22/12/2000,15167.54981
25/12/2000,15103.04004
26/12/2000,15427.71973
27/12/2000,15917.80957
28/12/2000,16185.94043
29/12/2000,15532.33984
1/1/2001,15653.86035
2/1/2001,15789.82031
3/1/2001,15968.12012
4/1/2001,null
5/1/2001,null
8/1/2001,16228.73047
9/1/2001,16819.46094
10/1/2001,16845.16992
11/1/2001,17380.30078
12/1/2001,17188.96094
15/1/2001,16688.16016
16/1/2001,17043.39063
17/1/2001,16981.23047
18/1/2001,16599.16016
19/1/2001,16322.37012
22/1/2001,16255.16992
23/1/2001,16376.79004
24/1/2001,17058.66016
25/1/2001,17200.98047
26/1/2001,16984.43945
29/1/2001,17169.43945
30/1/2001,16843.58984
31/1/2001,16936.81055
1/2/2001,17285.24023
2/2/2001,17758.75977
5/2/2001,17865.35938
6/2/2001,17951.42969
7/2/2001,17637.0293
8/2/2001,17831.85938
9/2/2001,17096.67969
12/2/2001,16929.16016
13/2/2001,16747.19922
14/2/2001,16359
15/2/2001,17082.99023
16/2/2001,17234.46094
19/2/2001,17199.98047
20/2/2001,17547.03906
21/2/2001,17715.58008
22/2/2001,17784.57031
23/2/2001,18292.85938
26/2/2001,18301.68945
27/2/2001,18096.36914
28/2/2001,17467.15039
1/3/2001,17406.53906
2/3/2001,16892.92969
5/3/2001,null
6/3/2001,16318.44043
7/3/2001,16491.39063
8/3/2001,16941.67969
9/3/2001,16850.74023
12/3/2001,16487.66016
13/3/2001,16577.08984
14/3/2001,16352.55957
15/3/2001,16142.75977
16/3/2001,14762.37012
19/3/2001,15278.32031
20/3/2001,15427.2002
21/3/2001,15367.13965
22/3/2001,null
23/3/2001,null
26/3/2001,15380.00977
27/3/2001,15227.38965
28/3/2001,15192.87012
29/3/2001,15519.29981
30/3/2001,null
2/4/2001,15817.75977
3/4/2001,15577.46973
4/4/2001,15314.07031
5/4/2001,15268.63965
6/4/2001,14901
9/4/2001,14776.90039
10/4/2001,14492.91992
11/4/2001,null
12/4/2001,15111.94043
13/4/2001,14881.29981
16/4/2001,15160.29004
17/4/2001,14827.80957
18/4/2001,14322.59961
19/4/2001,14478.25977
20/4/2001,14140.73047
23/4/2001,14257.17969
24/4/2001,13933.98047
25/4/2001,13921.05957
26/4/2001,13722.7002
27/4/2001,13975.07031
30/4/2001,13990.90039
1/5/2001,14713.86035
2/5/2001,14941.19043
3/5/2001,15284.09961
4/5/2001,15861.67969
7/5/2001,null
8/5/2001,15900.05957
9/5/2001,15876.92969
10/5/2001,16120.25977
11/5/2001,16055.04981
14/5/2001,15692.94043
15/5/2001,15857.07031
16/5/2001,16080.33984
17/5/2001,16434.38086
18/5/2001,16267.46973
21/5/2001,16086.74023
22/5/2001,16238.13965
23/5/2001,15952.36035
24/5/2001,15738.08008
25/5/2001,15978.91016
28/5/2001,16155.76953
